Meta,Axes,"8040,  3691",11331,11473,13196,"16782,18490",17020,17783,18456,18494,18495,18508,5692,14544,17565,7273
1 = Least simple (dev through release),Simplicity,1,4,1.5,2,,1,1,1,3,1,1,4,2,1,1
1 = No additional delight / No user-facing impact,User Delight,4,4,1,3.5,,2,3,2,3,3,4,2,3,3,4
1 = Less safe,Safety,2.5,3.5,1,4,,2,2.5,2,3,4,1,4,4,1,2
1 = No positive impact,Product Direction,3,1,1,2,,4,2,2,3,2,3,2,1,2,4
1 = No time pressue,Timeliness,2.5,1,2.5,2,,3,3,4,4,1,1,1,2,1,3
1 = No direct impact,Monetization,1,1,1,4,,1,1,4,1,1,2.5,1,1,1,1
1 = Least impact,Radius of Impact,3.5,4,2,2,,2,1,2,1,2,4,3,1,3,4
"1 = Lowest positive impact (hackey, one-offs)",Engineering Direction,3,2,1,2,,4,3,1,1,4,3,2,1,1,3
``,Total,20.5,20.5,11,21.5,,19,16.5,18,19,18,19.5,19,15,13,22
,T-Shirt Size,,,,,,,,,,,,,,,
